1,No vendo trap,Sencillo,2016,"Yo no estoy Trap, no vendo drugs
Yo no estoy Trap, no nací en Detroit
I don't mix the lean, hago mezclas de alcohol
El que habla de la trampa, en la trampa cayó
Yo no estoy Trap, no vendo drugs
Yo no estoy Trap, no nací en Detroit
I don't mix the lean, hago mezclas de alcohol
El que habla de la trampa, en la trampa cayó
I can't sleep, I need more pills
Sueño con su culo en animal print
You can't imagine that I'm a machine
No quiero la fama, I come for the miss
Días de derroche, noches sin dormir
Moby Dick in my pocket enrolando esa shit
A 300 en mi Porsche, Carrera GT
Primero del roster, soy el MVP
Este es mi deporte, se tienen que ir
Pa' vivir de esto, por eso nací
Yo vida de perro y ustedes de bitch
Hablan por hablar sin saber qué decir
Están lejos de mi puesto y muy cerca del click
Denme otro like que yo quiero subir
Sonar en ITunes y en YouTube all this week
Los 90's se fueron, no quiero mentir
Ellos pueden llorar que yo voy a reir
Hay que innovar es el chiste, my prim
No son Das EFX, yo tampoco Yung Lean
Sad Boys del futuro en el año 2000
Jugando sin cartas y con cara de all-in
Me llaman fake y no saben de mí
Mi vida en la music, lo más real que vi
Mi vida está fuera de control
Ahora mis labios estan rozando el anti-pop
Esa mierda del amor es para dos
Y conmigo somos tres, no puedo echar a mi otro yo
Cambié tus besos por otra botella de ron
Ahora es a ella a la que le pido perdón
Termina en nada como cada discusión
Vos poniendote a llorar, yo escribiendo otra canción
Sin vida de rockstar, en la ruina, just broke up
Cambia las zapas, no el lompa, cambia el lugar, no los compas
Siempre más venta que compra, ya no es orgullo, ahora es honra
Buscando a mi Natalie Portman, jugando like Pippen en Portland
Siempre viviendo en la sombra y eso que todos me notan
Se piensan que soy un idiota, mi nombre salió de sus bocas
Mi silencio no vale diez rocas, ni su amor toda una vida loca
Me tienta tanto esta tonta, pero me cansé de estas cosas
Ando al mando, sin estar armado
Pablo Escobar, ofrezco rap armando palos
Fumando hierba mala con buen trap al palo
Mirando el panorama como están regalados
Un primer tema bueno, no veo en ningún lado
Menos intentar serlo y más sentirlo, hermano
Están fuera de juego, diría adelantados
Mil metros de lejos pero pa'l otro lado
When my hommies smokin' shit go so loco
No te pienso compartir si tengo poco
Ya los ví por ahí haciendo el tonto
Quieren subir pero copiando a o..."
2,Txdx Violeta ft Klave,colaboracion,2017,"Viendo todo violeta
'Tamo mirando pa' arriba porque esa es la meta
El cielo sobre la tierra, donde nadie peca
Lo quiero todo pa' mi madre porque es mi muñeca
Va a ser mi flor favorita, va a ser mi flor favorita
Relax, escuchen este flash
Pido fuego, despido luego, el humo que larga el hash
¿Qué más me podés demostrar?
Quemo todas mis dudas, esa es mi cura para volar
Rolling papers, lillo sativa, lo prendo y lo inhalo
Como Lakers, pases de lujo, un triple y al aro
No lo intentes, puede que en el juego lo pagues caro
Me calzo mis lentes,
Ignoro a los haters que siguen los pasos que yo hago
Miran raro en el momento que tiramos al aro
Mis amagos hacen que tu envidia siga de largo
Miras dando apuntando mi estilo, mi flow y mi mambo
Tiran dados, probando que la suerte no esté de mi lado
Mis obras buenas no sobran, nena
Así que voy a cambiarte por una zorra nueva
Prefiero estar solo, es lo que ahora queda
Me quedo con esta sativa y bebidas que ahogan penas
Sé que en mis batallas tengo en contra a todos
Sé que muy nublado se me torna todo
Pero todo lo que toco se transforma en oro
Este camino que se me forma solo
Pero sigo mi destino sin dejar el objetivo
Porque sé que con mis migas se conforma el loro
Viendo todo violeta
'Tamo mirando pa' arriba porque esa es la meta
El cielo sobre la tierra, donde nadie peca
Lo quiero todo pa' mi madre porque es mi muñeca
Va a ser mi flor favorita por más que esté seca
'Tamo mirando pa' arriba porque esa es la meta
El cielo sobre la tierra, donde nadie peca
Lo quiero todo pa' mi madre porque es mi muñeca
Va a ser mi flor favorita por más que esté seca
Pa' ya estoy pegado en esto sin haber hecho un remix
Los tengo con la boca abierta hablando muy mal de mí
Ya está bien mi amigo, José, no lo sigue la police
Vendiendo atrasado sale el doble de
Caro en diciembre o enero que mayo o abril
Hoy va a ser un muy buen día a pesar
De que esa hoe dijo que ya no me quería
Es un día nublado,
Mira mal el policía, sigue sin saber cómo me gano la vida
Negro vivo rollin' no flexin', voy a salir del pozo ten fe en mí
Ahora esta de moda nombrar, pero solo a Gucci Mane, Drake o Kendrick
Juego de base a lo guardián, las maniobras de Pierce en los Celtics
Un abrazo pa' José que es leal y me hizo ganar esos 10 mil
Vida de artista, mentalidad poco conformista
Mi yo más real vive encima de la pista
No voy a dejar la music jamás, por favor no me insistan
Que estoy esquivando el pecado y la
Ruina para no acabar temprano mi vida
Mamá y Papá de poco en mí confían, voy a ser leyenda, no digo mentiras
Viendo todo violeta
'Tamo mirando pa' arriba porque esa es la meta
El cielo sobre la tierra, donde nadie peca
Lo quiero todo pa' mi madre porque es mi muñeca
Va a ser mi flor favorita por más que esté seca
'Tamo mirando pa' arriba porque esa es la meta
El cielo sobre la tierra, donde nadie peca
Lo quiero todo pa' mi madre porque es mi muñeca
Va a ser mi flor favorita por más que esté seca"
3,Hello cotto,Sencillo,2017,"Gang, damn, shkere, uoh!
Bunny, bunny, damn, damn
Bullet, bullet, prra, prra!

Me ahogo en la porquería porque hace tiempo tengo el corazón roto
Pero bueno que cosa mía, tengo esta manía que me tiene muy loco
Tamos' en la florería y tengo una María que es una flor de loto
Cuidao' que pega como cotto
Cuidao' que pega como cotto

Tengo las manos vacías
Si hay una alcancía, digan dónde que la exploto
Fuck la policía, me sigue la cia
Si me está escuchando hello moto
Quiere medicina, larry se la busca
Dígame cuanto que se la anoto
Cuidao' que pega como cotto
Cuidao' que pega como cotto

Mi music pega como cotto, como molly poderosa
Endemoniado estoy que floto, como si tomo e' la rosa
Tus gangsters a control remoto, hablan mucho y hacen poco
Para mí no son gran cosa, si me tiran no los no-no-noto

Siempre cara para foto, nunca sé bien lo que pasa
Estoy tumbado que me pesa, la locura no se pasa
La ansiedad tanto me estresa, que desde ahora vivo en casa
Con GTA como piloto, cuidao' que pega como cotto

Soy de los pibes del fondo, de los adicto' al quilombo
Mejor no ronquen con mi combo, que son todos locos y no me opongo
No me nombres, no los nombro, con mis hombres a los hombros
Se van al sobre, yo no sobro
De pobre a rico como rondó

Ya me conocen como el monstruo
Mi flow no encaja con mi rostro
O soy Jesús o soy apóstol
O soy del bronx o soy de boston
La semillita no es de arroz, toy
Vos dale fuego que esto es popcorn
Moños dorados, puro porno
No estoy drogado, estoy al horno

Y lo que dicen de mí no me importa na' (nada)
Y lo que dicen de mí me tiene sin cuidao', ao ah ah ah ao

Me ahogo en la porquería porque hace tiempo tengo el corazón roto
Pero bueno que cosa mía, tengo esta manía que me tiene muy loco
Tamos' en la florería y tengo una María que es una flor de loto
Cuidao' que pega como cotto (cotto)
Cuidao' que pega como cotto (cotto)

Tengo las manos vacías
Si hay una alcancía, digan dónde que la exploto
Fuck la policía, me sigue la cia
Si me está escuchando: Hello moto
Quiere medicina, larry se la busca
Dígame cuanto que se la anoto
Cuidao' que pega como cotto
Cuidao' que pega como cotto

Pide la escena yo que la facture
Que esté pegao', el que más facture
¿Pa' que criticar? Mejor man maduren
La mente en ganar como yaya touré
No existe ser que esté mal no cure
Quise cambiar, pero má' no pude
Están preocupao' por mi auto-tune
Y yo por la pena de tantos lunes

Mama solo pide que yo no fume
No sirve de nada que en vano jure
Hacer cosas que tiempo atrás no pude
Duki dispara aunque Mauro dude

Soy el niño, el año, morocho achinado
Llevo el doble caño, flow polarizado
¿Qué onda con tu clicka? ¿Tienen abogado?
Llámalo a burlando que yo estoy burlao'
Coroné botellas con el primer pago
En el segundo zapas, en el tercero gramos
Con el cuarto el kilo, ven de lo que hablamos
Con un poco e' estilo, acá to' lo logramos

Los tengo afuera con el perro atado
Esperando a que calle pa' meter un bocao'
Y no es que no la escucho por ser malcriado
Es que acá todos mienten y soy desconfiado
Que me mame el bicho, estoy malandrizado
El bando e' Venezuela está para mi lado
Con estudios pagos y no estoy becado
No llevo una cruz, pero vivo cruzado (prra, prra!)

Me ahogo en la porquería porque hace tiempo tengo el corazón roto
Pero bueno que cosa mía, tengo esta manía que me tiene muy loco
Tamos' en la florería y tengo una María que es una flor de loto
Cuidao' que pega como cotto, cuidao' que pega como cotto

Tengo las manos vacías
Si hay una alcancía, digan dónde que la exploto
Fuck la policía, me sigue la cia
Si me está escuchando hello moto
Quiere medicina, Larry se la busca
Dígame cuanto que se la anoto
Cuidao' que pega como cotto
Cuidao' que pega como cotto"
4,She dont give fo ft Khea,Sencillo,2017,"Ey, yeah, ah-oouooh
She don't give a fo, oh
She don't give a fo, oh-oh
Sabe que la quiero, pero she don't give a fo
Quizás es el miedo, pero she don't give a fo
Quiere a alguien con futuro, sin tanto cambio de humor
O eso es lo que creo, pero she don't give a fo

She don't give a fo, baby, she don't give a fo
She don't give a fo, baby, she don't give a fo
She don't give a fo, baby, she don't give a fo
She don't give a fo, baby, she don't give a fo

Soy un yonki loco por su coca
Aprovechá mis horas que son pocas
Cuando pasemo' esa puerta, mi loca
Te vas a hacer la que na' de esto te importa
Y termino de nuevo con otra
Ya ni quiero sacarle la ropa
Dejé de darle beso' en la boca
Quiero la reina, no un cuatro de copas
'Toy caliente, y estoy frío
No se llena este vacío
Girl, quereme just a little bit
Mi heroína en este lío

'Toy caliente, y estoy frío
No se llena este vacío
Girl, quereme
Mi heroína en este lío

Y si te digo que esta pena que siento
Sólo me la pueden sacar tus besos
Y si te digo que puedo morirme feliz
Mientras sea culpa de tu sexo
Y si te digo que el resto nos mira
Como si estuvieran odiando lo nuestro
Y veo tu cara que no te importa nada
Como si hubiera nacido pa' esto

Ella es una diabla
Me ve, me besa, después no me habla
Noche de sexo, días sin palabras
Ando perdido por culpa 'e esa diabla

Ella es una diabla
Me ve, me besa, después no me habla
Noche de sexo, días sin palabras
Ando perdido por culpa 'e esa diabla

Sabe que la quiero, pero she don't give a fo
Quizás es el miedo, pero she don't give a fo
Quiere a alguien con futuro y sin tanto cambio de humor
O eso es lo que creo, pero she don't give a fo

She don't give a fo, baby, she don't give a fo
She don't give a fo, baby, she don't give a fo
She don't give a fo, baby, she don't give a fo
She don't give a fo, baby, she don't give a fo

No hagas que vaya a buscarte
Y te diga to' lo que siento
Baby, no quiero frenarte
Ya no me alcanza el tiempo
Ya no es lo mismo que ante'
Ahora mato por tu cuerpo
Ahora mato por tu cuerpo
Baby, juro que no miento

Y si quieres dímelo
Diabla, sólo dímelo
Sé que sobran ganas
Pero siempre hay algo que mata lo de lo' do'

Y si quieres dímelo
Diabla, sólo dímelo
Sé que sobran ganas
Pero siempre hay algo que mata lo de lo' do'

She don't give a fo
She don't give a fo-fo
She don't give a fo-fo
She don't give a fo

She don't give a fo-fo
She don't give a fo-fo
She don't give a fo-fo
She don't give a fo
Oh-oh, oooh, oh
She don't give a fo-oh-oh
She don't give a fo-oh-oh
Oooh, oh-oh-oh"
5,Loca,colaboracion,2017,"Young flex
Mmm

Es una loca, yeah
Me manda video' al Snap mientras se toca, yeah
Me dice que si hoy le llego, que no puede esperar, yeah
Que se muere por mí, que quiere to' conmigo
Que la vaya a buscar, yeah, que la vaya a buscar

Es una loca, yeah
Me manda video' al Snap mientras se toca, yeah
Me dice que si hoy le llego, que no puede esperar, yeah
Que se muere por mí, que quiere to' conmigo
Que la vaya a buscar, yeah, que la vaya a buscar

Me tira videos por Snap
Pidiéndome que la vaya a buscar
Que con él siempre termina mal
Y que conmigo termina moja'
Nena no hay otra igual
Prende fuego la cama
Te viene conmigo, no má'
Me mira cuando está atraganta'

Sabe bebé, que vamo' a hacer
Lo vamo' a hacer, esta noche
Sabe bebe, que vamo' a hacer
Lo vamo' a hacer, yeah, esta noche

Es una loca, yeah
Me manda video' al Snap mientras se toca, yeah
Me dice que si hoy le llego, que no puede esperar, yeah
Que se muere por mí, que quiere to' conmigo
Que la vaya a buscar, yeah, que la vaya a buscar

Es una loca, yeah
Me manda video' al Snap mientras se toca, yeah
Me dice que si hoy le llego, que no puede esperar, yeah
Que se muere por mí, que quiere to' conmigo
Que la vaya a buscar, yeah, que la vaya a buscar
(¡Duki!)

Me avisó qué es viernes y que sale
Va a mojar sus labios en shot de Jagger
Y espera a que sean las 6 y la llame
Pa' que no' podamos ver
Con sus besos cura to' mis males
En su cuello marqué mis iniciales
Si me lo mueve pide que no pare
Mami, qué le vamo' a hacer
Tomó una pastillita loca
Y puso la otra mitad dentro 'e mi boca
Y yo la toco, y ella me toca
No quiere a otro, y no quiero a otra
Y ahora el dueño del lugar va a tumbármelo
Si me pego otra dice dámelo
Me lo sacó 'e la boca pa' fumárselo
Sabe que ahora lo vamo' a pasar mejor
Estoy bajo su poder, poder
Ni yo sé qué tomé, tomé
No lo para 'e mover, mover
Creo que me enamoré, -moré

Yo no estoy pa' jode', -oe
Y tú quieres mover, -oer
Una más de muje', -ue
Entre líneas lo sé, sé

Es una loca, yeah
Me manda video' al Snap mientras se toca, yeah
Me dice que si hoy le llego, que no puedo esperar, yeah
Que se muere por mí, que quiere to' conmigo
Que la vaya a buscar, yeah, que la vaya a buscar

Me dice loca
Se enloquece si solo mira y no me toca
Que me pasa a buscar, que no puede aguantar, que lo voy a matar
Que lo ate a la cama, lo agarre del cuello y no pueda respirar
Cazzu, baby (Cazzu)

Tengo un doctorado en todo el sex (baby)
De dónde salió esa puta, quién es (quién es)
Todos se preguntan si lo hago bien
Yo les enseñé a todas esas bitchs a mover
Págame, págame, págame
Que esté culo se lo merece
Y págame, págame, págame
Si quieres que esta noche
Te quiero comer
De saberlo mover
De que te enamore
Y con todos mis trucos hacerte volver

Me dice loca
Se enloquece si solo mira y no me toca
Que me pasa a buscar, que no puede aguantar, que lo voy a matar
Que lo ate a la cama, lo agarre del cuello y no pueda respirar"
6,Si Te Sentis Sola,Sencillo,2018,"Si te sentí' sola, sola, yeh
Sola, sola (plo, plo, plo)
Si te sentí' sola cuando se hace 'e madrugada
Y todo' eso' trago' no te sirvieron de na'
Lo' do' bien sabemo' que hay ganas acumuladas
Y eso se resuelve solo con-con
Si te sentí' sola cuando se hace 'e madrugada
Y todo' eso' trago' no te sirvieron de na'
Lo' do' bien sabemo' que hay ganas acumuladas
Y eso se resuelve solo con una llamá'
'Toy pegao' al phone esperando tu llamada
'Toy pegao' al phone esperando tu llamá'
'Toy pegao' al phone esperando tu llamada
'Toy pegao' al phone esperando tu llamá'
Ella 'tá loca de siempre, lo mío depende del tiempo
Yo sé muy bien lo que siente y ella sabe lo que siento
La tengo pegada en la mente como lo' bille' 'e quiniento'
Como el amor de mi gente, como lo pies en el dance floor
Y qué lo qué con lo que digan (que digan, que digan, que digan, que digan)
Yo no cambio, eso e' mentira (mentira, mentira, mentira, mentira)
Solo busco una salida (salida, salida, salida, salida)
Fuera 'el hoyo de la envidia (la envidia, la envida, la envidia, la envidia)
Hice un pacto con María (María, María, María, María)
Le recé todo' los días (los días, los días, los días, los días)
Bendito pa' toa' la vida (la vida, la vida, la vida, la vida)
Y qué lo qué con lo que digan
Si te sentí' sola cuando se hace 'e madrugada (sola, sola)
Y todo' eso' tragos no te sirvieron de na' (sola, sola)
Lo' do' bien sabemo' que hay ganas acumuladas (sola, sola)
Y eso se resuelve solo con una llama' (sola, sola)
'Toy pegado al phone, phone, phone
Esperando la llamá', -ma, -ma
Me tiene pegado al phone, phone, phone
Esperando la llamá', -ma, -ma, yeh, yeh
Mi última semana fue una de die' día'
Pila 'e marihuana, feel like Bruno Díaz
Baby, estamo' lindo' y no es culpa 'el Messiah
Es que me queda bien a ella tenerla encima
Hustling, hustling, rolling, rolling (rolling, rolling)
My sending, my sending, molly, molly (molly, molly)
Hustling, hustling, rolling, rolling (rolling, rolling, rolling)
Es que cuando voy con vos yo siento que me miran
Puedo ser tu Rocky y que vos seas mi Fashion Killa
Las gatas no pasan porque ella es una divina
Desde que anda con los míos es dueña de la esquina
Es que cuando voy con vos yo siento que me miran
Puedo ser tu Rocky y que vos seas mi Fashion Killa
Esas gatas no pasan porque ella es una divina (divina, divina, divina)
Desde que anda con los míos es dueña de la esquina
Si te sentís sola
Llámame, girl
Llámame, bebé
Te voy a estar esperando
Yeah, yeah, yeah"
7,"Quavo ft Neo pistea, Ysy a",Sencillo,2018,"NEO PISTEA
Te juro que lo vi corriendo wacho y quiero que corra denuevo,
El barrio lo sabe, lo vieron running 3 cuadras del guetto,
Sigo esperando ese tiro, digo, me lo prometieron,
Nadie sabia que corrían tan ligero.

Quiero money, dinero, para mamá el mundo entero,
En el hood me las cogi a todas debo cambiar de hemisferio
Grupo nuevo, ropa nueva, joyas nuevas todo nuevo, todo nuevo, nuevo, nuevo,

DUKI
En el West están vendiendo la de QUAVO
Ropa nueva, joyas nuevas, grupo nuevo,
Making money pa´ mi mama por si muero,
Y a mi puta díganle que si la quiero (X2)

Si quiere brillar, le presento a mi joyero,
O a mi contador si hay problemas de dinero,
Dicen que voy ser rico tantas fechas en enero,
Que me sigue la AFIP por mis aumentos financieros.

NEO PISTEA
En el West siempre me compro la de QUAVO
Me saludan todos los dealers cuando llego
Cuando salgo por el barrio soy El Diego,
Me conocen me la venden me la llevo.

DUKI
Dealer nuevo, data nueva, nada bueno…
Ya no es YSY, Duki y Neo, es algo nuevo…
Un shoutout pa GTA que es cocinero…
Tanta plata que ahora le queman los dedos,

Me mido por la actitud, no por el ego,
Como esa blanca e´ tu crew, que tiene miedo,
Que a falta de virtud, y poco huevo,
Terminaron en el club: de teloneros.

YSY A
Se me acerca una fulana interesada con ganas de saber qué es el ""mododiablo"" del que falan,
No hay trabajo, pero sobra pico y pala, 
Se que sus amigas van a dejarla volver a mi cama,
A la mia, a la del Rico, a la del Wana, quiere que le de, voy a volver a correrme en su cara,
La dirección de la mansion censurada,
Muchas putas quieren pipa pero nunca compran nada.
Por qué? Loca viniste a comer, tomar desayuno y tocarsela al rey,
Tomarte el asunto de ser, niñera, portera, y chofer ,
No me cocines lo mismo que ayer,
Bañate tranquila, bañate, okey?
La toalla azul tuya usala y volvé, te trajo ropa nueva papi no él, 
No gratis voy flex, me gasto mi money en los pares del mes,
Toy fuckin flotando y no es culpa e' Diaz Velez, 
Partimo a otro negge, compramos de a 100,
Si enano no activa y el nando esta arriba nos vamo hasta el west,
Tu mano perdida, un crupier sin salida, multipliqué el cien, tengo 100 jaguares corriendome el tren

NEO PISTEA
Te juro que lo vi corriendo wacho y quiero que corra de nuevo,
El barrio lo sabe lo vieron running 3 cuadras del guetto,
Sigo esperando ese tiro, digo, me lo prometieron,
Nadie sabia que corrían tan ligero.

DUKI
En el west están vendiendo la de QUAVO
Ropa nueva, joyas nuevas, grupo nuevo,
Making money pa mi mama por si muero,
Y a mi puta díganle que si la quiero (X2)

Quiero money, dinero, para mamá el mundo entero,
En el hood me las coji a todas debo cambiar, debo cambiar, debo cambiar…"
8,Rockstar,Sencillo,2018,"Me queda bien cuando me miente
Me queda bien ser el de siempre
Me queda bien todo lo que inventen
Me queda bien
Me queda bien cuando me miente
Me queda bien ser el de siempre
Me queda bien todo lo que invente
Me queda bien
Mami ven agarrame la mano sentí el calor de como todos nos miran
Que si al menos vos estás a mi lado
Se me hace más fácil afrontar esa vida
Estos blancos ahora quieren
Matarnos porque no toleran vernos tan arriba
Yo fronteando contando lo que vivo
Sin tener que ponerme a hablar mentiras
Ahora vivo en la mansión, a poca cuadras mi avenida
Casi que la veo desde el balcón mientras estoy quemando porquería
¿Qué quien me creo que soy? El mejor al menos en estos días
Cada liga tiene su Jordan es obvio que yo soy el de la mía
Yo no tengo seriedad, niño Lombardo simpatía
Liga Italia serie A, nini Icardi buena vida
Que cómo me van a bajar, si es que yo ya nací arriba
Que cómo me van a bajar, si soy dueño de la liga
Fuck your feelings I'm rockstar, yo me siento como un rockstar
Cojo putas como rockstar, tomo pastillas como un rockstar
Fuck your feelings I'm a rockstar, yo me siento como un rockstar
Cojo putas como rockstar, tomo pastillas como un rockstar
Rockstar
Baby, I'm a rockstar
Baby, I'm a rockstar
Yo soy un rockstar"
9,Sin Culpa ft Drefquila,Sencillo,2018,"Iba caminando por el medio de la disco
Cuando los dos nos empezamos a mirar
Ella tiene novio pero eso no le importa
Por que quiere sentir lo que es el trap

Ella es jugadora, te envenena y te lastima
Poco a poco te empieza a matar
Ella es una diabla, ni siquiera siente culpa
Se acerco y nos pusimos a bailar

Y bailamos sin culpa
Que yo sé que en el fondo te gusta
No responde si el novio pregunta
Que le había pasado, donde había estado
Estaba bailando

Y estaba bailando sin culpa
Que yo sé que en el fondo te gusta
No responde si el novio pregunta
Que le había pasado, en donde había estado

Estaba bailando sin culpa
Que yo sé que en el fondo te gusta
No responde si el novio pregunta
Que le había pasado, donde había estado
Estaba bailando sin culpa ah ah ah ahh
Estaba bailando sin culpa ah ah ah ahh eh ehh

Ella se puso su mejor combinación
Quiere moverlo con esta canción
Esta lista para la ocasión
Es pa' mi, para ella soy yo

Ella me dio más que solo su corazón
Ella es mi nena, es mi bombón
Arma los tragos, enrola el blunt
Mientras tanto rompo el colchón

Hace más calor, cuando esa loca me mira
Ando todo loco con ella fumo María
Quiero pedir todo de día, si la pierdo a ella
Yo pierdo mi vida

Pero se que esa loca vive de mentiras
Ando enamorado y se que ella es una bandida
Pero no me importa nada, por que bailo sin culpa

Y bailamos sin culpa
yo sé que en el fondo te gusta
No responde si el novio pregunta
Donde había estado, que le había pasado

Estaba bailando sin culpa
yo sé que en el fondo te gusta
No responde si el novio pregunta
Que le había pasado, donde había estado

Estaba
Bailando sin culpa
Bailando sin culpa
Bailando sin culpa
Bailando sin culpa

Iba caminando por el medio de la disco
Cuando los dos nos empezamos a mirar
Ella tiene novio, pero eso no le importa
Por que quiere sentir lo que es el trap

Ella es jugadora, te envenena y te lastima
Poco a poco y te empieza a matar
Ella es una diabla, ni siquiera siente culpa
Se acerca y nos pusimos a bailar

Y yo
Nena sabes que soy el mejor
Al que nunca le dices que no
El que le mete a fuego soy yo

Y bailamos sin culpa
yo sé que en el fondo te gusta
No responde si el novio pregunta
Donde había estado, que le había pasado

Estaba bailando sin culpa
yo sé que en el fondo te gusta
No responde si el novio pregunta
Donde había estado, que le había pasado

Estaba
Bailando sin culpa
Bailando sin culpa
Bailando sin culpa
Bailando sin culpa"
10,Lebron,Sencillo,2019,"Like Lebron, yeah (Lebron, yeah)
Like Lebron ('bron)
Hey, rojas, what you got?
Like Lebron, yeah (Lebron, yeah)
D-d-dj wreckless (wreckless, wreckless)
Like Lebron
Puta, vine a ganar todo like Lebron, yeah (yeah, yeah, yeah)
Todos saben que el duketo 'tá cabrón (yo', yo')
Perdóname, beba, si no aprendo a amarte (yeah, yeah)
El corazón lo perdí adentro 'e la mansión (woh)
Puta, vine a ganar todo like Lebron, yeah (like Lebron, yeah, yeh)
Todos saben que el duketo 'tá cabrón ('tá cabrón)
Perdóname, beba, si no aprendo a amarte (no, no, no, no, no)
El corazón lo perdí adentro 'e la mansión (no, no)
Puta, vine a ganar todo like Lebron, yeah (Lebron, yeah)
Todos saben que el duketo 'tá cabrón ('tá cabrón)
Perdóname, beba, si no aprendo a amarte (si no aprendo a amarte; yeh, yeh)
El corazón lo perdí adentro 'e la mansión (yo', yo')
¿Ahora dónde están to' eso' que eran rapero'?
Yo no juego a ese juego hace cuatro enero' (uh, uh)
Aunque odien decirlo, yo fui el primero (yo fui el primero)
Y ninguno me compite, mami, sé que no exagero (uh-uh)
Cuando lo puse de moda no lo entendieron (no lo entendieron)
Ahora que 'tamo' en la joda dicen, 'tá bueno ('tá bueno)
Podría estar má' pegao' que to' eso' trapero' (uh-uh)
Pero soy más underground que lo que yo quiero
Le' molesta que lo que pienso lo digo
Y que lo que escribo son cosa' que yo sí vivo (son cosa' que yo sí vivo)
Hasta que no aprenda a tocar en vivo
No vo' a dejar que uno de esto' blanco' quede vivo (plo, plo, plo, plo, plo, plo)
Que me tilden de agrandado y engreído
Pero lo' mejore' de acá son todo' mis amigos (mis amigos)
Sigo #mododiablo, 'toy poseído
Y toda' esa' ratcheta' quieren fiesta con white migos
Puta, vine a ganar todo like Lebron, yeah (yeah)
Todos saben que el duketo 'tá cabrón (cabrón)
Perdóname, beba, si no aprendo a amarte (yeah, yeah)
El corazón (yeah)
Puta, vine a ganar todo like Lebron, yeah (yeah, yeah)
Todos saben que el duketo 'tá cabrón (-ón)
Perdóname, beba, si no aprendo a amarte (no, no, no)
El corazón lo perdí adentro 'e la mansión (no, oh)
Puta, vine a ganar todo like Lebron, yeah (Lebron, yeh-eh)
Todos saben que el duketo 'tá cabrón (wuh-uh)
Perdóname, beba, si no aprendo a amarte (si no aprendo a amarte, yeh-eh-eh)
El corazón lo perdí adentro 'e la mansión (yo, yo)
Vivo una vida de ciencia ficción (ficción)
La gente sólo sueña con la mansión (mansión)
Modelo' y kilo' en la habitación (-ción)
Putas se trepan por el balcón (-ón)
Con esto del trap volví a traer rock (rock)
Sabe', kelowá, they know how we roll (roll)
Me van a matar en un callejón (-jón)
Va a ser un fan, va a ser como john
Pero tranquilo
Que todavía falta demasiado, pero follow me now
El que hable de má', no tengo problema', yo sí lo fulmino (yo sí lo fulmino)
Que 'tamo' grande' para estar llorando por malentendido' (-do')
Que acá somo' poco' loco' lo' que todo no lo escu
Puta, vine a ganar todo like Lebron, yeah (Lebron, yeh)
Todos saben que el duketo 'tá cabrón ('tá cabrón)
Perdóname, beba, si no aprendo a amarte
El corazón lo perdí adentro 'e la mansión
Like Lebron, yeah
(Yeah, yeah)
Like Lebron
Like Lebron, yeah"
